areaSource|areaSourceHigh|areaSourceLow|areaTotal|associationId|datlocation|depth|endtime|eventid|h|hHigh|hLow|hfall|hfall_high|hfall_low|l|lHigh|lLow|latitude|locuncertKm|longitude|lppotential|mass|massHigh|massLow|maxdistvhfKm|maxdistvhfReached|maxdisthfKm|maxdisthfReached|maxdistipKm|maxdistipReached|maxdistlpKm|maxdistlpReached|maxdistinfraKm|maxdistinfraReached|infraDetected|name|otherdataquality1to5|peakDischarge|peakDischargeLow|peakDischargeHigh|peakFlowheight|peakFlowheightLow|peakFlowheightHigh|starttime|sources|toeLat|toeLon|topLat|topLon|upstreamDrainarea|type|subtype|volume|volumeHigh|volumeLow
||||333|IRIS||2023_03_13 120547|333|700.00000|1000.00000|600.00000||||4000.00000|4400.00000|3600.00000|46.18880|0.30000|-122.16530|0||||||52.00000|True|||0.00000||0.00000||False|Shoestring Notch, Mount St Helens|2|||||||2023_03_13 114808|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|46.17540|-122.11790|46.18880|-122.16530||snow avalanche|Snow avalanches|||
||||120|IRIS||2011_07_06 222535|120||||||||||46.84300|0.20000|-121.75000|0||||||100.00000|True|||0.00000|||||Nisqually 10|4|||||||2011_07_06 222327|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|46.82050|-121.73790|46.84300|-121.75000||rock fall, rock and ice avalanche|Rock/ice/debris avalanches and slides|71000.00000|100000.00000|52000.00000
||||122|IRIS||1989_08_16 171509|122|2300.00000||||||7800.00000|||46.87460|0.50000|-121.75370|0||||||181.00000|False|||0.00000|||||Russell Cliff 2, Mount Rainier|3|||||||1989_08_16 171409|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||rock fall|Rock/debris falls|||
||||38|IRIS||2015_08_20 213436|38|1100.00000|1200.00000|800.00000||||18000.00000|19000.00000|7000.00000|45.34630|0.50000|-121.69990|0||||||13.00000|True|||0.00000|||||White River, Mount Hood|2|||||||2015_08_20 204712|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|45.20550|-121.60470|45.34630|-121.69990||debris flow|Lahar/debris flow/outburst flood|||
||||335|IRIS||2023_12_10 190808|335|1300.00000|1500.00000|900.00000||||2900.00000|3200.00000|2700.00000|46.86120|0.00000|-121.73900|0||||||78.00000|True|||0.00000||9.00000|True|True|Emmons Glacier, Mount Rainier|4|||||||2023_12_10 190445|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|46.87390|-121.70690|46.86120|-121.73900||snow avalanche|Snow avalanches|||
||||330|IRIS||2023_08_28 001204|330|800.00000|900.00000|700.00000||||5000.00000|5400.00000|4800.00000|45.34970|0.10000|-121.69570|0||||7.00000|1|32.00000|True|||0.00000||0.00000||False|White River, Mount Hood|4|||||||2023_08_27 234430|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|45.30800|-121.68000|45.34970|-121.69570||debris flow|Lahar/debris flow/outburst flood|||
||||121|IRIS||1989_08_16 170708|121|2300.00000||||||7800.00000|||46.87460|0.50000|-121.75370|0||||||91.00000|False|||0.00000|||||Russell Cliff 1, Mount Rainier|3|||||||1989_08_16 170619|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||rock fall|Rock/debris falls|||
||||291|IRIS||2021_09_13 174725|291||||||||||46.84350|0.10000|-121.74780|0||||||18.00000|True|||0.00000||||False|Nisqually, Mount Rainier 2|4|||||||2021_09_13 174636|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||ice fall|Rock/debris falls|||
|||9.54000|141|IRIS||2016_06_22 191124|141||||||||||44.21502|0.00000|-122.25469|0||||0.05928||||||0.00000||0.00000||False|USGS Debris-flow flume sand and gravel|5|||||||2016_06_22 191054|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|||44.21502|-122.25469||debris flow flume experiment|Lahar/debris flow/outburst flood|10.00000|10.00000|10.00000
||||79|IRIS||2014_05_15 015607|79||||||||||46.19340|0.15000|-122.17590|0||||||18.00000|True|||0.00000|||||Mount St Helens|3|||||||2014_05_15 014741|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||snow avalanche|Snow avalanches|||
